doi,title,authors,author_affiliations,venue,container_title,event_name,event_location,pages,published_print,published_online,doi_url,acm_page_url,official_pdf_download_url,supplementary_material_url,source_archive_url,github_urls,repository_urls,dataset_urls,arxiv_ids,arxiv_abs_urls,arxiv_pdf_urls,arxiv_source_urls,all_extracted_urls,publisher,license_urls,reference_count,is_referenced_by_count,crossref_type,fetched_at_utc
10.1145/3805622.3819063,From Captioning to Multimodal Reasoning: The Evolution of Vision-Language Research in the Era of Multimodal LLMs,Marcella Cornia,"University of Modena and Reggio Emilia, Reggio Emilia, Italy",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,1-1,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3819063,https://dl.acm.org/doi/10.1145/3805622.3819063,https://dl.acm.org/doi/pdf/10.1145/3805622.3819063,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,0,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3820241,Retrieval in the Age of Agents: From Ranking Documents to Querying Experts,Evangelos Kanoulas,"University of Amsterdam, Amsterdam, Netherlands",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,2-2,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3820241,https://dl.acm.org/doi/10.1145/3805622.3820241,https://dl.acm.org/doi/pdf/10.1145/3805622.3820241,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,0,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810778,Graphs for Logic and Texts for Context: A Multi-Agent Orchestrated Hybrid RAG with Stepwise Question Decomposition,Feng Ding; Huailiang Peng; Hao Sun; Chi Zhang; Qiong Dai,"Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China and School of Cyber Security, University of Chinese Academy of Sciences, Beijing, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,3-11,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810778,https://dl.acm.org/doi/10.1145/3805622.3810778,https://dl.acm.org/doi/pdf/10.1145/3805622.3810778,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,28,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810802,Mitigating Semantic Bias in Multilingual Visual Document Retrieval via Language-Vision-Aware Late Interaction,Haowei Li; Haojie Wu; Jie Bao; Zhen Chen; Yong Liao,"School of Cyber Science and Technology, University of Science and Technology of China, Hefei, Anhui, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,12-20,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810802,https://dl.acm.org/doi/10.1145/3805622.3810802,https://dl.acm.org/doi/pdf/10.1145/3805622.3810802,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,35,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810768,Describing-Verifying-Scoring: A Hierarchical Reasoning Framework for Zero-Shot Composed Image Retrieval,Guquan Jing; Peng Gao; Yujian Lee; Hui Zhang,"Beijing Normal-Hong Kong Baptist University, Zhuhai, China and Hong Kong Baptist University, Hong Kong, China; Beijing Normal-Hong Kong Baptist University, Zhuhai, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,21-30,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810768,https://dl.acm.org/doi/10.1145/3805622.3810768,https://dl.acm.org/doi/pdf/10.1145/3805622.3810768,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,49,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810737,Spherical Projected Bézier Flow: A Geometry-Constrained Manifold Transport Framework for Cross-Age Face Retrieval,Huaqing Song; Baichuan Lin; Shuofeng Sun; Lanchi Xie; Haibin Yan; Zhihui Li,"Institute of Forensic Science, Ministry of Public Security, Beijing, China., Beijing, Xicheng, China; School of Intelligent Engineering and Automation, Beijing University of Posts and Telecommunications, Beijing, Haidian, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,31-39,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810737,https://dl.acm.org/doi/10.1145/3805622.3810737,https://dl.acm.org/doi/pdf/10.1145/3805622.3810737,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,26,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810736,Frozen LVLMs for Micro-Video Recommendation: A Systematic Study of Feature Extraction and Fusion,Huatuan Sun; Yunshan Ma; Changguang Wu; Yanxin Zhang; Pengfei Wang; Xiaoyu Du,"Nanjing University of Science and Technology, Nanjing, China; Singapore Management University, Singapore, Singapore; University of Wisconsin-Madison, Madison, USA; GienTech Technology Co.,Ltd., Beijing, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,40-49,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810736,https://dl.acm.org/doi/10.1145/3805622.3810736,https://dl.acm.org/doi/pdf/10.1145/3805622.3810736,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,61,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810762,PIRSA: Profile-Indexed Retrieval and Semantic Frame Alignment for Ambiguous Spoken Language Understanding,Xiaoqin Zhang; Xingpeng Wu; Yanjun Lu; Shuhan Nie; Tian Shi; Xianglong Liu; Xin Yang,"Chongqing Communication Design Institute Co.Ltd., Chongqing, Jiulongpo District, China; School of Computer Science and Engineering, Chongqing University of Technology, Chongqing, Banan District, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,50-58,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810762,https://dl.acm.org/doi/10.1145/3805622.3810762,https://dl.acm.org/doi/pdf/10.1145/3805622.3810762,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,42,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810751,PAMS-GNN: Popularity-Aware Multimodal Semantic GraphNeural Networks for Recommendation,Quanyou Li; Yunqi Cao; Le Yu; Wenxin Li; Jin Xu,"Peking university, Beijing, China; Peking University, Beijing, China; Beijing Technology and Business University, Beijing, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,59-68,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810751,https://dl.acm.org/doi/10.1145/3805622.3810751,https://dl.acm.org/doi/pdf/10.1145/3805622.3810751,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode,56,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810864,MURE: Hierarchical Multi-Resolution Encoding via Vision-Language Models for Visual Document Retrieval,Fengbin Zhu; Zijing Cai; Yuzhe Wang; Pengyang Shao; Wenjie Wang; Fuli Feng; Richang Hong; Tat-Seng Chua,"National University of Singapore, Singapore, Singapore; University of Science and Technology of China, Hefei, China; National University of Singapore, Singapore, China; University of Science and Technology of China, 0000-0002-5828-9842, China; Hefei University of Technology, Hefei, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,69-78,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810864,https://dl.acm.org/doi/10.1145/3805622.3810864,https://dl.acm.org/doi/pdf/10.1145/3805622.3810864,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,48,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
