source_url,final_url,paper_id,title,paper_url,arxiv_id,arxiv_url,pdf_url,github_url,github_stars_text,extra_links
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2605.23904,SkillOpt: Executive Strategy for Self-Evolving Agent Skills,https://huggingface.co/papers/2605.23904,2605.23904,https://arxiv.org/abs/2605.23904,https://arxiv.org/pdf/2605.23904.pdf,https://github.com/microsoft/SkillOpt,7.01k,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2412.20138,TradingAgents: Multi-Agents LLM Financial Trading Framework,https://huggingface.co/papers/2412.20138,2412.20138,https://arxiv.org/abs/2412.20138,https://arxiv.org/pdf/2412.20138.pdf,https://github.com/tauricresearch/tradingagents,86.3k,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2508.02739,Kronos: A Foundation Model for the Language of Financial Markets,https://huggingface.co/papers/2508.02739,2508.02739,https://arxiv.org/abs/2508.02739,https://arxiv.org/pdf/2508.02739.pdf,https://github.com/shiyu-coder/Kronos,30.2k,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2407.16741,OpenDevin: An Open Platform for AI Software Developers as Generalist Agents,https://huggingface.co/papers/2407.16741,2407.16741,https://arxiv.org/abs/2407.16741,https://arxiv.org/pdf/2407.16741.pdf,https://github.com/opendevin/opendevin,77.2k,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2606.03264,PaddleOCR-VL-1.6: Expanding the Frontier of Document Parsing with Under-Optimized Region Refinement and Progressive Post-Training,https://huggingface.co/papers/2606.03264,2606.03264,https://arxiv.org/abs/2606.03264,https://arxiv.org/pdf/2606.03264.pdf,https://github.com/PaddlePaddle/PaddleOCR,82.3k,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2510.09665,LMCache: An Efficient KV Cache Layer for Enterprise-Scale LLM Inference,https://huggingface.co/papers/2510.09665,2510.09665,https://arxiv.org/abs/2510.09665,https://arxiv.org/pdf/2510.09665.pdf,https://github.com/LMCache/LMCache,9.11k,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2605.27276,SIA: Self Improving AI with Harness & Weight Updates,https://huggingface.co/papers/2605.27276,2605.27276,https://arxiv.org/abs/2605.27276,https://arxiv.org/pdf/2605.27276.pdf,https://github.com/hexo-ai/sia,1.71k,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2509.22186,MinerU2.5: A Decoupled Vision-Language Model for Efficient High-Resolution Document Parsing,https://huggingface.co/papers/2509.22186,2509.22186,https://arxiv.org/abs/2509.22186,https://arxiv.org/pdf/2509.22186.pdf,https://github.com/opendatalab/MinerU,67.6k,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2309.06180,Efficient Memory Management for Large Language Model Serving with PagedAttention,https://huggingface.co/papers/2309.06180,2309.06180,https://arxiv.org/abs/2309.06180,https://arxiv.org/pdf/2309.06180.pdf,https://github.com/vllm-project/vllm,82.9k,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2606.13679,InterleaveThinker: Reinforcing Agentic Interleaved Generation,https://huggingface.co/papers/2606.13679,2606.13679,https://arxiv.org/abs/2606.13679,https://arxiv.org/pdf/2606.13679.pdf,https://github.com/zhengdian1/InterleaveThinker,170,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2606.02800,Cosmos 3: Omnimodal World Models for Physical AI,https://huggingface.co/papers/2606.02800,2606.02800,https://arxiv.org/abs/2606.02800,https://arxiv.org/pdf/2606.02800.pdf,https://github.com/NVIDIA/cosmos,10.2k,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2606.13707,Orchestra-o1: Omnimodal Agent Orchestration,https://huggingface.co/papers/2606.13707,2606.13707,https://arxiv.org/abs/2606.13707,https://arxiv.org/pdf/2606.13707.pdf,https://github.com/zfkarl/Orchestra-o1,39,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2504.19413,Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory,https://huggingface.co/papers/2504.19413,2504.19413,https://arxiv.org/abs/2504.19413,https://arxiv.org/pdf/2504.19413.pdf,https://github.com/mem0ai/mem0,58.6k,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2606.11926,Toward Generalist Autonomous Research via Hypothesis-Tree Refinement,https://huggingface.co/papers/2606.11926,2606.11926,https://arxiv.org/abs/2606.11926,https://arxiv.org/pdf/2606.11926.pdf,https://github.com/RUC-NLPIR/Arbor,311,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2606.10804,SCAIL-2: Unifying Controlled Character Animation with End-to-end In-Context Conditioning,https://huggingface.co/papers/2606.10804,2606.10804,https://arxiv.org/abs/2606.10804,https://arxiv.org/pdf/2606.10804.pdf,https://github.com/zai-org/SCAIL-2,486,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2310.10688,A decoder-only foundation model for time-series forecasting,https://huggingface.co/papers/2310.10688,2310.10688,https://arxiv.org/abs/2310.10688,https://arxiv.org/pdf/2310.10688.pdf,https://github.com/google-research/timesfm,20.9k,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2606.06036,"Memory is Reconstructed, Not Retrieved: Graph Memory for LLM Agents",https://huggingface.co/papers/2606.06036,2606.06036,https://arxiv.org/abs/2606.06036,https://arxiv.org/pdf/2606.06036.pdf,https://github.com/Ji-shuo/MRAgent,51,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2606.05405,Agents' Last Exam,https://huggingface.co/papers/2606.05405,2606.05405,https://arxiv.org/abs/2606.05405,https://arxiv.org/pdf/2606.05405.pdf,https://github.com/rdi-berkeley/agents-last-exam,659,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2606.07080,dots.tts Technical Report,https://huggingface.co/papers/2606.07080,2606.07080,https://arxiv.org/abs/2606.07080,https://arxiv.org/pdf/2606.07080.pdf,https://github.com/rednote-hilab/dots.tts,637,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2511.19663,Fara-7B: An Efficient Agentic Model for Computer Use,https://huggingface.co/papers/2511.19663,2511.19663,https://arxiv.org/abs/2511.19663,https://arxiv.org/pdf/2511.19663.pdf,https://github.com/microsoft/fara,5.69k,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2503.11576,SmolDocling: An ultra-compact vision-language model for end-to-end multi-modal document conversion,https://huggingface.co/papers/2503.11576,2503.11576,https://arxiv.org/abs/2503.11576,https://arxiv.org/pdf/2503.11576.pdf,https://github.com/docling-project/docling,61.6k,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2606.09821,Rethinking the Divergence Regularization in LLM RL,https://huggingface.co/papers/2606.09821,2606.09821,https://arxiv.org/abs/2606.09821,https://arxiv.org/pdf/2606.09821.pdf,https://github.com/Tencent-Hunyuan/UniRL,615,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2605.12500,SenseNova-U1: Unifying Multimodal Understanding and Generation with NEO-unify Architecture,https://huggingface.co/papers/2605.12500,2605.12500,https://arxiv.org/abs/2605.12500,https://arxiv.org/pdf/2605.12500.pdf,https://github.com/OpenSenseNova/SenseNova-U1,3.18k,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2605.03042,ARIS: Autonomous Research via Adversarial Multi-Agent Collaboration,https://huggingface.co/papers/2605.03042,2605.03042,https://arxiv.org/abs/2605.03042,https://arxiv.org/pdf/2605.03042.pdf,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep,12.1k,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2606.08063,Robust-U1: Can MLLMs Self-Recover Corrupted Visual Content for Robust Understanding?,https://huggingface.co/papers/2606.08063,2606.08063,https://arxiv.org/abs/2606.08063,https://arxiv.org/pdf/2606.08063.pdf,https://github.com/jqtangust/Robust-U1,127,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2606.13392,MiniMax Sparse Attention,https://huggingface.co/papers/2606.13392,2606.13392,https://arxiv.org/abs/2606.13392,https://arxiv.org/pdf/2606.13392.pdf,https://github.com/MiniMax-AI/MSA,284,
https://paperswithcode.com/methods/large-language-model-llm,https://huggingface.co/papers/trending,2508.19205,VibeVoice Technical Report,https://huggingface.co/papers/2508.19205,2508.19205,https://arxiv.org/abs/2508.19205,https://arxiv.org/pdf/2508.19205.pdf,https://github.com/microsoft/VibeVoice,49.4k,
